Id,Start time,Completion time,Email,"Please read the statements below carefully before confirming your agreement. By proceeding, you confirm the following:  …..........","Name (Counted as Signature, will be kept anonymous) ",Roughly how many time table change requests do you deal with in a typical week?,What proportion of requests you receive require back-and-forth clarification before they can be processed?,What's the most common reason a request is delayed or hard to process? (select up to 2),Do you think the current Microsoft Form captures the information you need to process requests efficiently?,How do you currently communicate the outcome/status of a request back to the requester?,How useful would a dashboard showing all pending/in-progress/completed requests be for managing your workload?,"How important is it to categorise incoming requests (e.g. by type, urgency, approval needed)?",Would it help to have requests automatically checked against the live timetable (e.g. flagging if a room/time is already unavailable to the teacher/lecturer) before they reach you?,"Would you be comfortable with a system that lets requesters see the status/progress of their own request, without contacting you directly?","Would you support students being able to submit certain requests or issues directly, rather than only through academic staff?",Is there anything about your current workflow that you think is important for this project to consider? (optional)
1,7/23/2026 11:50,7/23/2026 11:54,anonymous,Yes,anonymous,6 to 10 ,Some,It would not allow me to pick 2 so....Conflicts with existing timetable and Ambiguous or unclear request.,Yes,They check the live timetable themselves,Not useful,Not important,Yes,Yes,No,
2,08-11-2026 16:45,08-11-2026 16:50,anonymous,Yes,anonymous,11 to 20,Some,Missing information,"Somewhat, can be improved",The Dept Timetabling team email lecturers to let them know that the request has been put forward.,Extremely useful,Very important,Yes,Yes,No,"My role is to approve requests that are asking for changes due to student numbers, student experience, staff at conferences etc."
